visit_month,total_visits,total_revenue
2024-01,105,30620.85
2024-02,100,30238.94
2024-03,110,38218.2
2024-04,98,31520.05
2024-05,127,40084.39
2024-06,107,33571.08
2024-07,100,27585.49
2024-08,121,41618.66
2024-09,96,25308.13
2024-10,123,41019.59
2024-11,103,38222.14
2024-12,86,24196.07
2025-01,99,33742.56
2025-02,88,25041.11
2025-03,105,38188.76
2025-04,103,33499.13
2025-05,118,40044.33
2025-06,104,29106.74
2025-07,100,31198.36
2025-08,109,35495.85
2025-09,96,32060.1
2025-10,87,28747.97
2025-11,108,33624.99
2025-12,107,38205.64
